zip_code,zip_city,municipal_code,municipal_number
0370,OSLO,0301,OSLO
0371,OSLO,0301,OSLO
0372,OSLO,0301,OSLO
0373,OSLO,0301,OSLO
0374,OSLO,0301,OSLO
0375,OSLO,0301,OSLO
0376,OSLO,0301,OSLO
0377,OSLO,0301,OSLO
0378,OSLO,0301,OSLO
0379,OSLO,0301,OSLO
0380,OSLO,0301,OSLO
0381,OSLO,0301,OSLO
0382,OSLO,0301,OSLO
0383,OSLO,0301,OSLO
0401,OSLO,0301,OSLO
0402,OSLO,0301,OSLO
0403,OSLO,0301,OSLO
0404,OSLO,0301,OSLO
0405,OSLO,0301,OSLO
0406,OSLO,0301,OSLO
0409,OSLO,0301,OSLO
0410,OSLO,0301,OSLO
0411,OSLO,0301,OSLO
0412,OSLO,0301,OSLO
0413,OSLO,0301,OSLO
0415,OSLO,0301,OSLO
0421,OSLO,0301,OSLO
0422,OSLO,0301,OSLO
0423,OSLO,0301,OSLO
0424,OSLO,0301,OSLO
0440,OSLO,0301,OSLO
0441,OSLO,0301,OSLO
0442,OSLO,0301,OSLO
0445,OSLO,0301,OSLO
0450,OSLO,0301,OSLO
0451,OSLO,0301,OSLO
0452,OSLO,0301,OSLO
0454,OSLO,0301,OSLO
0455,OSLO,0301,OSLO
0456,OSLO,0301,OSLO
0457,OSLO,0301,OSLO
0458,OSLO,0301,OSLO
0459,OSLO,0301,OSLO
0460,OSLO,0301,OSLO
0461,OSLO,0301,OSLO
0462,OSLO,0301,OSLO
0463,OSLO,0301,OSLO
0464,OSLO,0301,OSLO
0465,OSLO,0301,OSLO
0467,OSLO,0301,OSLO
0468,OSLO,0301,OSLO
0469,OSLO,0301,OSLO
0470,OSLO,0301,OSLO
0472,OSLO,0301,OSLO
0473,OSLO,0301,OSLO
0474,OSLO,0301,OSLO
0475,OSLO,0301,OSLO
0476,OSLO,0301,OSLO
0477,OSLO,0301,OSLO
0478,OSLO,0301,OSLO
0479,OSLO,0301,OSLO
0480,OSLO,0301,OSLO
0481,OSLO,0301,OSLO
0482,OSLO,0301,OSLO
0483,OSLO,0301,OSLO
0484,OSLO,0301,OSLO
0485,OSLO,0301,OSLO
0486,OSLO,0301,OSLO
0487,OSLO,0301,OSLO
0488,OSLO,0301,OSLO
0489,OSLO,0301,OSLO
0490,OSLO,0301,OSLO
0491,OSLO,0301,OSLO
0492,OSLO,0301,OSLO
0493,OSLO,0301,OSLO
